,Source,Propaganda text,Type
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,Les Boches Sont Passes la!,propaganda
,"https://www.imdb.com/chart/tvmeter?sort=rk,asc&mode=simple&page=1",Florida Man,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/top-gun-maverick/movieshow/66053638.cms,Top Gun: Maverick,Non propaganda
,"https://www.imdb.com/chart/tvmeter?sort=rk,asc&mode=simple&page=1",Rabbit Hole,Non propaganda
,https://www.imdb.com/chart/toptv?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=470df400-70d9-4f35-bb05-8646a1195842&pf_rd_r=J4Y5SF08DY11V7JGE0JR&pf_rd_s=right-4&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_ql_6,Invincible,Non propaganda
,https://www.imdb.com/chart/toptv?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=470df400-70d9-4f35-bb05-8646a1195842&pf_rd_r=J4Y5SF08DY11V7JGE0JR&pf_rd_s=right-4&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_ql_6,Critical Role,Non propaganda
,https://stacker.com/history/famous-propaganda-posters-last-100-years,"It's Our Flag: Fight for it, Work for it",propaganda
,https://www.imdb.com/chart/toptv?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=470df400-70d9-4f35-bb05-8646a1195842&pf_rd_r=J4Y5SF08DY11V7JGE0JR&pf_rd_s=right-4&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_ql_6,Downton Abbey,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/a-private-war/movieshow/65873196.cms,A Private War,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/game-night/movieshow/61961563.cms,Game Night,Non propaganda
,https://www.imdb.com/chart/toptv?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=470df400-70d9-4f35-bb05-8646a1195842&pf_rd_r=J4Y5SF08DY11V7JGE0JR&pf_rd_s=right-4&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_ql_6,Samurai Champloo,Non propaganda
,https://posteritati.com/genre/documentary?page=10,"My Brother, My Sister, Sold for a Fistful of Lire",Non propaganda
,https://posteritati.com/genre/documentary?page=11,PRECIOUS GIFT,Non propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,Millions Of Troops Are On The Move...,propaganda
,"https://www.imdb.com/list/ls021389931/?sort=list_order,asc&st_dt=&mode=detail&page=2",Spanglish,Non propaganda
,https://www.iwm.org.uk/learning/resources/second-world-war-posters,Plan and Grow for winter,propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,Un Bon de Solidarite: ne se Refuse pas!,propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/memory/movieshow/91069719.cms,Memory,Non propaganda
,"https://www.imdb.com/chart/top-english-movies?sort=nv,desc&mode=simple&page=1",Ford v Ferrari,Non propaganda
,https://www.iwm.org.uk/learning/resources/second-world-war-posters,Grow your own food supply your own cookhouse,propaganda
,"https://www.imdb.com/chart/top-english-movies?sort=nv,desc&mode=simple&page=1",No Country for Old Men,Non propaganda
,https://www.imdb.com/title/tt6440484/?ref_=fn_tt_tt_254,I Said I Would Never Talk About Politics,Non propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,Boys! Serve Your Country,propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,Radiogram To Men Of 18 And 19...,propaganda
,"https://www.imdb.com/list/ls021389931/?sort=list_order,asc&st_dt=&mode=detail&page=1",The Third Half,Non propaganda
,https://theworld.org/stories/2015-02-18/behold-best-north-korea-s-349-new-propaganda-slogans,"- ""The North Korean people must bind together and build up the glorious nation at breakneck speed"";",propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/it-chapter-two/movieshow/62024632.cms,IT: Chapter Two,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/free-solo/movieshow/68827517.cms,Free Solo,Non propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,For Home and Country,propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/old/movieshow/80743666.cms,Old,Non propaganda
,https://www.imdb.com/chart/toptv?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=470df400-70d9-4f35-bb05-8646a1195842&pf_rd_r=J4Y5SF08DY11V7JGE0JR&pf_rd_s=right-4&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_ql_6,Blackadder Goes Forth,Non propaganda
,https://posteritati.com/genre/documentary?page=6,Electric Edwardians: The Films of Mitchell & Kenyon,Non propaganda
,https://posteritati.com/genre/documentary?page=7,Festival Express,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/fromjennifer/movieshow/62019028.cms,#FromJennifer,Non propaganda
,https://www.loc.gov/free-to-use/wwi-posters/,Help him win by saving and serving--Buy War Savings Stamps,propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/68-kill/movieshow/61283716.cms,68 Kill,Non propaganda
,https://www.imdb.com/chart/toptv?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=470df400-70d9-4f35-bb05-8646a1195842&pf_rd_r=J4Y5SF08DY11V7JGE0JR&pf_rd_s=right-4&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_ql_6,Chef's Table,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/sniper-rogue-mission/movieshow/93454175.cms,Sniper: Rogue Mission,Non propaganda
,https://posteritati.com/genre/documentary?page=13,Two in the Wave,Non propaganda
,https://posteritati.com/genre/documentary?page=7,Film Before Film,Non propaganda
,https://www.imdb.com/chart/toptv?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=470df400-70d9-4f35-bb05-8646a1195842&pf_rd_r=J4Y5SF08DY11V7JGE0JR&pf_rd_s=right-4&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_ql_6,The Office,Non propaganda
,https://www.imdb.com/title/tt5516328/?ref_=fn_tt_tt_59,Shotgun Stories,Non propaganda
,https://posteritati.com/genre/documentary?page=5,"Blue Water, White Death",Non propaganda
,"https://www.imdb.com/chart/top-english-movies?sort=nv,desc&mode=simple&page=1",The Exorcist,Non propaganda
,https://www.imdb.com/title/tt11658616/?ref_=fn_tt_tt_53,American Horror Story,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/tenet/movieshow/69476781.cms,Tenet,Non propaganda
,https://www.imdb.com/title/tt11597002/?ref_=fn_tt_tt_109,The Politics of Music,Non propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,Cardinal Mercier,propaganda
,https://posteritati.com/genre/documentary?page=7,Forbidden Films,Non propaganda
,https://www.imdb.com/chart/toptv?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=470df400-70d9-4f35-bb05-8646a1195842&pf_rd_r=J4Y5SF08DY11V7JGE0JR&pf_rd_s=right-4&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_ql_6,Letterkenny,Non propaganda
,"https://www.imdb.com/chart/tvmeter?sort=rk,asc&mode=simple&page=1",The Great,Non propaganda
,https://stacker.com/history/famous-propaganda-posters-last-100-years,Stamp out the Axis,propaganda
,https://www.imdb.com/title/tt7909738/?ref_=fn_tt_tt_226,Savannah: Pig politics,Non propaganda
,"https://www.imdb.com/list/ls021389931/?sort=list_order,asc&st_dt=&mode=detail&page=1",The Illusionist,Non propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,We'll Take Care of the Rising Sun...,propaganda
,https://posteritati.com/genre/documentary?page=12,That's Dancing!,Non propaganda
,https://posteritati.com/genre/documentary?page=11,Portrait of Jason,Non propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,[War Time Destruction],propaganda
,"https://www.imdb.com/chart/tvmeter?sort=rk,asc&mode=simple&page=1",The Avengers,Non propaganda
,https://posteritati.com/genre/documentary?page=5,Bukowski: Born into This,Non propaganda
,"https://www.imdb.com/chart/top-english-movies?sort=nv,desc&mode=simple&page=1",1917,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/david-gilmour-live-at-pompeii/movieshow/61372844.cms,David Gilmour Live At Pompeii,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/the-lost-city/movieshow/90658193.cms,The Lost City,Non propaganda
,"https://www.imdb.com/chart/top-english-movies?sort=nv,desc&mode=simple&page=1",Roman Holiday,Non propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,Lick The Platter Clean,propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,"Health, Strength, Joy for All the Children of All the Schools of America",propaganda
,"https://www.imdb.com/chart/top-english-movies?sort=nv,desc&mode=simple&page=1",Life of Brian,Non propaganda
,https://www.imdb.com/chart/toptv?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=470df400-70d9-4f35-bb05-8646a1195842&pf_rd_r=J4Y5SF08DY11V7JGE0JR&pf_rd_s=right-4&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_ql_6,Dekalog,Non propaganda
,https://propagandaposterstore.com/shop/?product_view=list&product_orderby=popularity,"Americans will always fight for liberty (1778,1943)",propaganda
,https://www.imdb.com/chart/toptv?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=470df400-70d9-4f35-bb05-8646a1195842&pf_rd_r=J4Y5SF08DY11V7JGE0JR&pf_rd_s=right-4&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_ql_6,Gintama,Non propaganda
,https://www.imdb.com/chart/toptv?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=470df400-70d9-4f35-bb05-8646a1195842&pf_rd_r=J4Y5SF08DY11V7JGE0JR&pf_rd_s=right-4&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_ql_6,Africa,Non propaganda
,https://www.imdb.com/title/tt15868956/?ref_=fn_tt_tt_57,"1001 Heroes, Legends, Histories & Mysteries Podcast",Non propaganda
,https://posteritati.com/genre/documentary?page=12,Swiss Made,Non propaganda
,"https://www.imdb.com/list/ls021389931/?sort=list_order,asc&st_dt=&mode=detail&page=1",The Best of Me,Non propaganda
,https://www.imdb.com/chart/toptv?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=470df400-70d9-4f35-bb05-8646a1195842&pf_rd_r=J4Y5SF08DY11V7JGE0JR&pf_rd_s=right-4&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_ql_6,Dark,Non propaganda
,https://www.imdb.com/chart/toptv?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=470df400-70d9-4f35-bb05-8646a1195842&pf_rd_r=J4Y5SF08DY11V7JGE0JR&pf_rd_s=right-4&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_ql_6,1883,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/cowgirls-story/movieshow/61669069.cms,Cowgirl's Story,Non propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,U.S. Navy Landing Craft,propaganda
,"https://www.imdb.com/list/ls021389931/?sort=list_order,asc&st_dt=&mode=detail&page=1",Chocolat,Non propaganda
,https://posteritati.com/genre/documentary?page=12,Tabloid,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/the-big-sick/movieshow/61284639.cms,The Big Sick,Non propaganda
,https://www.imdb.com/title/tt2262205/?ref_=fn_tt_tt_271,Case Histories,Non propaganda
,https://posteritati.com/genre/documentary?page=4,Acapulco Gold,Non propaganda
,"https://www.imdb.com/list/ls021389931/?sort=list_order,asc&st_dt=&mode=detail&page=2",Ruby Sparks,Non propaganda
,https://filmartgallery.com/products/lets-get-lost-5500,The Queen,Non propaganda
,https://posteritati.com/genre/documentary?page=11,Sisters in Law,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/misbehaviour/movieshow/80098698.cms,Misbehaviour,Non propaganda
,https://posteritati.com/genre/documentary?page=11,Ski for Two,Non propaganda
,https://www.imdb.com/title/tt10824546/?ref_=fn_tt_tt_160,Sexual Politics of War,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/old/movieshow/80743666.cms,Old,Non propaganda
,https://posteritati.com/genre/documentary?page=12,Roar of the Crowd,Non propaganda
,https://www.imdb.com/chart/toptv?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=470df400-70d9-4f35-bb05-8646a1195842&pf_rd_r=J4Y5SF08DY11V7JGE0JR&pf_rd_s=right-4&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_ql_6,Justified,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/bad-boys-for-life/movieshow/61934653.cms,Bad Boys For Life,Non propaganda
,https://www.imdb.com/title/tt12306692/?ref_=fn_tt_tt_44,The Labyrinth & The Long Road,Non propaganda
,"https://www.imdb.com/chart/top-english-movies?sort=nv,desc&mode=simple&page=1",Rocky,Non propaganda
,https://www.imdb.com/chart/toptv?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=470df400-70d9-4f35-bb05-8646a1195842&pf_rd_r=J4Y5SF08DY11V7JGE0JR&pf_rd_s=right-4&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_ql_6,Foyle's War,Non propaganda
,https://www.imdb.com/title/tt9179812/?ref_=fn_tt_tt_154,Talk Politics,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/ghostbusters-afterlife/movieshow/72468566.cms,Ghostbusters: Afterlife,Non propaganda
,https://posteritati.com/genre/documentary?page=7,The Filth and the Fury,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/everything-everywhere-all-at-once/movieshow/93729502.cms,Everything Everywhere All At Once,Non propaganda
,"https://www.imdb.com/chart/top-english-movies?sort=nv,desc&mode=simple&page=1",Anatomy of a Murder,Non propaganda
,https://posteritati.com/genre/documentary?page=7,Grateful Dawg,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/gunpowder-milkshake/movieshow/86028905.cms,Gunpowder Milkshake,Non propaganda
,https://posteritati.com/genre/documentary?page=9,Jimi Hendrix at Woodstock,Non propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search,[Russian Propaganda Poster],propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,"Aux Meres, Aux Veuves",propaganda
,https://www.imdb.com/title/tt23905208/?ref_=fn_tt_tt_257,Beyond the Politics of Life and Choice: A New Conversation About Abortion,Non propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,Little Americans: Do Your Bit,propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/sing-2/movieshow/88563164.cms,Sing 2,Non propaganda
,"https://www.imdb.com/list/ls021389931/?sort=list_order,asc&st_dt=&mode=detail&page=1","Definitely, Maybe",Non propaganda
,https://posteritati.com/genre/documentary?page=7,Into Great Silence,Non propaganda
,https://posteritati.com/genre/documentary?page=6,"Cuba: Battle of the 10,000,000",Non propaganda
,https://posteritati.com/genre/documentary?page=11,Puerto Rico,Non propaganda
,https://posteritati.com/genre/documentary?page=12,Ryuichi Sakamoto: Coda,Non propaganda
,https://stacker.com/history/famous-propaganda-posters-last-100-years,Is This Tomorrow? America under Communism,propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,War Rages in France,propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/peninsula/movieshow/79390202.cms,Peninsula,Non propaganda
,https://posteritati.com/genre/documentary?page=11,Nowitzki: The Perfect Shot,Non propaganda
,https://posteritati.com/genre/documentary?page=8,The Horse Boy,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/maze-runner-the-death-cure/movieshow/61933739.cms,Maze Runner: The Death Cure,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/paradise-highway/movieshow/93139510.cms,Paradise Highway,Non propaganda
,"https://www.imdb.com/list/ls021389931/?sort=list_order,asc&st_dt=&mode=detail&page=2",Keith,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/a-beautiful-day-in-the-neighborhood/movieshow/73173684.cms,A Beautiful Day In The Neighborhood,Non propaganda
,"https://www.imdb.com/list/ls021389931/?sort=list_order,asc&st_dt=&mode=detail&page=1",Vicky Cristina Barcelona,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/bullet-train/movieshow/90066612.cms,Bullet Train,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/my-hero-academia-world-heroes-mission/movieshow/88006273.cms,My Hero Academia: World Heroes Mission,Non propaganda
,https://posteritati.com/genre/documentary?page=6,Every Last Child,Non propaganda
,https://www.imdb.com/title/tt10117188/?ref_=fn_tt_tt_151,Politics and Other Crimes,Non propaganda
,https://www.imdb.com/title/tt5095804/?ref_=fn_tt_tt_68,The Official Story,Non propaganda
,https://www.imdb.com/chart/toptv?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=470df400-70d9-4f35-bb05-8646a1195842&pf_rd_r=J4Y5SF08DY11V7JGE0JR&pf_rd_s=right-4&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_ql_6,Neon Genesis Evangelion,Non propaganda
,"https://www.imdb.com/chart/top-english-movies?sort=nv,desc&mode=simple&page=1",Hamilton,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/the-broken-hearts-gallery/movieshow/79111763.cms,The Broken Hearts Gallery,Non propaganda
,https://posteritati.com/genre/documentary?page=5,Burden,Non propaganda
,"https://www.imdb.com/list/ls021389931/?sort=list_order,asc&st_dt=&mode=detail&page=2",Unfinished Sky,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/no-time-to-die/movieshow/70765794.cms,No Time To Die,Non propaganda
,https://posteritati.com/genre/documentary?page=7,"The Farm: Angola, USA",Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/uglydolls/movieshow/67160862.cms,Uglydolls,Non propaganda
,https://posteritati.com/genre/documentary?page=9,Lucha Mexico,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/relic/movieshow/76381486.cms,Relic,Non propaganda
,https://www.imdb.com/title/tt4042054/?ref_=fn_tt_tt_262,The Nonsense Politics of PragerU,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/phantom-thread/movieshow/61961599.cms,Phantom Thread,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/minari/movieshow/81907103.cms,Minari,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/spider-man-no-way-home/movieshow/85765994.cms,Spider-Man: No Way Home,Non propaganda
,"https://www.imdb.com/chart/tvmeter?sort=rk,asc&mode=simple&page=1",Reacher,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/icarus/movieshow/69773478.cms,Icarus,Non propaganda
,https://posteritati.com/genre/documentary?page=4,79 Springtimes,Non propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,Keep 'Em Flying! (Large Banner),propaganda
,https://www.iwm.org.uk/learning/resources/second-world-war-posters,"Men of Valor, They Fight For You",propaganda
,"https://www.imdb.com/chart/top-english-movies?sort=nv,desc&mode=simple&page=1",Sunset Blvd.,Non propaganda
,"https://www.imdb.com/chart/tvmeter?sort=rk,asc&mode=simple&page=1",Bones,Non propaganda
,https://www.imdb.com/title/tt20454816/?ref_=fn_tt_tt_152,"Politics: It's Weird, Man.",Non propaganda
,https://posteritati.com/genre/documentary?page=8,Hollywood Out-takes and Rare Footage,Non propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,"Sir, Don't Waste",propaganda
,https://propagandaposterstore.com/shop/,The camp library is yours – Read to win the war,propaganda
,https://www.imdb.com/title/tt2132494/?ref_=fn_tt_tt_166,Politics of a Boycott,Non propaganda
,https://www.bl.uk/world-war-one/articles/patriotism-and-nationalism,Your Country Needs YOU,propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/the-square/movieshow/63212790.cms,The Square,Non propaganda
,https://www.imdb.com/chart/toptv?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=470df400-70d9-4f35-bb05-8646a1195842&pf_rd_r=J4Y5SF08DY11V7JGE0JR&pf_rd_s=right-4&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_ql_6,The Venture Bros.,Non propaganda
,https://posteritati.com/genre/documentary?page=12,Swimming Out Till the Sea Turns Blue,Non propaganda
,https://www.originalfilmart.com/en-bd/collections/documentary/products/david-crosby-remember-my-name,David Crosby: Remember My Name ,Non propaganda
,https://www.imdb.com/chart/toptv?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=470df400-70d9-4f35-bb05-8646a1195842&pf_rd_r=J4Y5SF08DY11V7JGE0JR&pf_rd_s=right-4&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_ql_6,Das Boot,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/the-kitchen/movieshow/70749517.cms,The Kitchen,Non propaganda
,"https://www.imdb.com/list/ls021389931/?sort=list_order,asc&st_dt=&mode=detail&page=2",Made of Honor,Non propaganda
,"https://www.imdb.com/chart/tvmeter?sort=rk,asc&mode=simple&page=1",The Dark Knight Rises,Non propaganda
,https://www.imdb.com/title/tt16124650/?ref_=fn_tt_tt_142,The Politics of Power with Chris Hayes,Non propaganda
,https://posteritati.com/genre/documentary?page=9,Man on Wire,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/the-predator/movieshow/61997252.cms,The Predator,Non propaganda
,https://wargaming.com/en/news/world_war_propaganda_posters/,“Your Country Needs You” 1914,propaganda
,https://www.imdb.com/title/tt2780446/?ref_=fn_tt_tt_261,Golden Rule Politics: Reclaiming the Rightful Role of Faith in Politics,Non propaganda
,"https://www.imdb.com/list/ls021389931/?sort=list_order,asc&st_dt=&mode=detail&page=2",Death Defying Acts,Non propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,Come On!,propaganda
,https://posteritati.com/genre/documentary?page=8,Lenny Bruce: Without Tears,Non propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,Ship Blueprint,propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/our-friend/movieshow/80498654.cms,Our Friend,Non propaganda
,https://www.loc.gov/free-to-use/wwi-posters/,Hunger knows no armistice--Near East Relief...,propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/star-wars-the-rise-of-skywalker/movieshow/68884497.cms,Star Wars: The Rise Of Skywalker,Non propaganda
,https://posteritati.com/genre/documentary?page=14,The World Before Your Feet,Non propaganda
,https://www.imdb.com/title/tt9579100/?ref_=fn_tt_tt_35,Small Town Politics,Non propaganda
